Non-terminals/Terminals,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_GT,TK_LT,TK_EQ,TK_NE,TK_LE,TK_GE,TK_AND,TK_OR,TK_NOT,TK_ASSIGNOP,TK_DOT,TK_COMMA,TK_COLON,TK_SEM,TK_OP,TK_CL,TK_SQL,TK_SQR,TK_ID,TK_FUNID,TK_FIELDID,TK_RUID,TK_NUM,TK_RNUM,TK_INT,TK_REAL,TK_LIST,TK_RECORD,TK_UNION,TK_TYPE,TK_IF,TK_THEN,TK_ELSE,TK_ENDIF,TK_WHILE,TK_ENDWHILE,TK_MAIN,TK_PARAMETERS,TK_PARAMETER,TK_GLOBAL,TK_RETURN,TK_CALL,TK_INPUT,TK_OUTPUT,TK_READ,TK_WRITE,TK_DEFINETYPE,TK_WITH,TK_AS,TK_END,TK_ENDRECORD,TK_ENDUNION,TK_COMMENT,EPS,END_OF_INPUT,
fieldtype,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,<fieldtype> ---> <constructedDatatype> ,ERROR,ERROR,<fieldtype> ---> <primitiveDatatype> ,<fieldtype> ---> <primitiveDatatype> ,ERROR,<fieldtype> ---> <constructedDatatype> ,<fieldtype> ---> <constructedDatatype> ,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
moreFields,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<moreFields> ---> <fieldDefinition> <moreFields> ,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,<moreFields> ---> EPS ,<moreFields> ---> EPS ,ERROR,ERROR,ERROR,
assignmentStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,SYN,SYN,<assignmentStmt> ---> <singleOrRecId> TK_ASSIGNOP <arithmeticExpression> TK_SEM ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,SYN,SYN,SYN,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,ERROR,SYN,SYN,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
funCallStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,<funCallStmt> ---> <outputParameters> TK_CALL TK_FUNID TK_WITH TK_PARAMETERS <inputParameters> TK_SEM ,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,<funCallStmt> ---> <outputParameters> TK_CALL TK_FUNID TK_WITH TK_PARAMETERS <inputParameters> TK_SEM ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
iterativeStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,<iterativeStmt> ---> TK_WHILE TK_OP <booleanExpression> TK_CL <stmt> <otherStmts> TK_ENDWHILE ,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
conditionalStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<conditionalStmt> ---> TK_IF TK_OP <booleanExpression> TK_CL TK_THEN <stmt> <otherStmts> <elsePart> ,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
ioStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<ioStmt> ---> TK_READ TK_OP <var> TK_CL TK_SEM ,<ioStmt> ---> TK_WRITE TK_OP <var> TK_CL TK_SEM ,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
returnStmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,<returnStmt> ---> TK_RETURN <optionalReturn> TK_SEM ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
optionalReturn,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<optionalReturn> ---> EPS ,ERROR,SYN,<optionalReturn> ---> TK_SQL <idList> TK_SQR ,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
elsePart,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<elsePart> ---> TK_ELSE <stmt> <otherStmts> TK_ENDIF ,<elsePart> ---> TK_ENDIF ,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
arithmeticExpression,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,<arithmeticExpression> ---> <term> <expPrime> ,SYN,ERROR,SYN,<arithmeticExpression> ---> <term> <expPrime> ,ERROR,ERROR,ERROR,<arithmeticExpression> ---> <term> <expPrime> ,<arithmeticExpression> ---> <term> <expPrime> ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
expPrime,<expPrime> ---> <lowPrecedenceOperators> <term> <expPrime> ,<expPrime> ---> <lowPrecedenceOperators> <term> <expPrime> ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<expPrime> ---> EPS ,ERROR,<expPrime> ---> EPS ,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
term,SYN,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,<term> ---> <factor> <termPrime> ,SYN,ERROR,SYN,<term> ---> <factor> <termPrime> ,ERROR,ERROR,ERROR,<term> ---> <factor> <termPrime> ,<term> ---> <factor> <termPrime> ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
termPrime,<termPrime> ---> EPS ,<termPrime> ---> EPS ,<termPrime> ---> <highPrecedenceOperators> <factor> <termPrime> ,<termPrime> ---> <highPrecedenceOperators> <factor> <termPrime> ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<termPrime> ---> EPS ,ERROR,<termPrime> ---> EPS ,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
factor,SYN,SYN,SYN,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,<factor> ---> TK_OP <arithmeticExpression> TK_CL ,SYN,ERROR,SYN,<factor> ---> <var> ,ERROR,ERROR,ERROR,<factor> ---> <var> ,<factor> ---> <var> ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
